Assembly Accession	TaxID	Organism	Assembly Level	Chromsome Count	Total Length	Contig Count	Contig N50	Scaffold Count	Scaffold N50	Read Coverage	Submission Date	Latest Update	Bio Source	GC Content	ATCC Catalog
GCF_000008765.1	272562	Clostridium acetobutylicum ATCC 824 (firmicutes)	Complete Genome	1	4132880	2	3940880	2	3940880	0	2002/11/22 00:00	2020/03/20 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 824')]))])), ('Sex', None), ('Isolate', None)])	0.3093	824
GCF_000009085.1	192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 (e-proteobacteria)	Complete Genome	1	1641481	1	1641481	1	1641481	0	2003/05/06 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'NCTC 11168')]))])), ('Sex', None), ('Isolate', None)])	0.3055	700819
GCF_000009145.1	228410	Nitrosomonas europaea ATCC 19718 (b-proteobacteria)	Complete Genome	1	2812094	1	2812094	1	2812094	0	2003/05/06 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 19718')]))])), ('Sex', None), ('Isolate', None)])	0.5072	19718
GCF_000010125.1	342451	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292 (firmicutes)	Complete Genome	1	2577899	3	2516575	3	2516575	0	2005/08/12 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 15305')]))])), ('Sex', None), ('Isolate', None)])	0.3319	15305
GCF_000010425.1	367928	Bifidobacterium adolescentis ATCC 15703 (high GC Gram+)	Complete Genome	1	2089645	1	2089645	1	2089645	0	2006/12/05 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 15703')]))])), ('Sex', None), ('Isolate', None)])	0.5918	15703
GCF_000010505.1	431947	Porphyromonas gingivalis ATCC 33277 (CFB group bacteria)	Complete Genome	1	2354886	1	2354886	1	2354886	0	2008/05/20 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 33277')]))])), ('Sex', None), ('Isolate', None)])	0.4836	33277
GCF_000010545.1	395019	Burkholderia multivorans ATCC 17616 (b-proteobacteria)	Complete Genome	3	7008810	4	2473162	4	2473162	0	2008/06/03 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 17616')]))])), ('Sex', None), ('Isolate', None)])	0.6669	17616
GCF_000011045.1	568703	Lacticaseibacillus rhamnosus GG (firmicutes)	Complete Genome	1	3005051	1	3005051	1	3005051	0	2009/09/25 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 53103')]))])), ('Sex', None), ('Isolate', None)])	0.4669	53103
GCF_000011325.1	196627	Corynebacterium glutamicum ATCC 13032 (high GC Gram+)	Complete Genome	1	3309401	1	3309401	1	3309401	0	2004/02/18 00:00	2020/03/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 13032')]))])), ('Sex', None), ('Isolate', None)])	0.5381	13032
GCF_000011645.1	279010	Bacillus licheniformis DSM 13 = ATCC 14580 (firmicutes)	Complete Genome	1	4222597	1	4222597	1	4222597	0	2007/04/26 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 14580; DSM 13')]))])), ('Sex', None), ('Isolate', None)])	0.4619	14580
GCF_000011885.1	295319	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150 (enterobacteria)	Complete Genome	1	4585229	1	4585229	1	4585229	0	2004/11/30 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 9150')]))])), ('Sex', None), ('Isolate', None)])	0.5216	9150
GCF_000012365.1	271848	Burkholderia thailandensis E264 (b-proteobacteria)	Complete Genome	2	6723972	2	3809201	2	3809201	0	2005/12/15 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'E264; ATCC 700388')]))])), ('Sex', None), ('Isolate', None)])	0.6763	700388
GCF_000012745.1	292415	Thiobacillus denitrificans ATCC 25259 (b-proteobacteria)	Complete Genome	1	2909809	1	2909809	1	2909809	0	2005/09/01 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 25259')]))])), ('Sex', None), ('Isolate', None)])	0.6607	25259
GCF_000012825.1	435590	Phocaeicola vulgatus ATCC 8482 (CFB group bacteria)	Complete Genome	1	5163189	1	5163189	1	5163189	0	2007/06/27 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 8482')]))])), ('Sex', None), ('Isolate', None)])	0.4220	8482
GCF_000012845.1	435591	Parabacteroides distasonis ATCC 8503 (CFB group bacteria)	Complete Genome	1	4811379	1	4811379	1	4811379	0	2007/06/27 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 8503')]))])), ('Sex', None), ('Isolate', None)])	0.4506	8503
GCF_000013025.1	228405	Hyphomonas neptunium ATCC 15444 (a-proteobacteria)	Complete Genome	1	3705021	1	3705021	1	3705021	0	2006/09/18 00:00	2021/05/13 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 15444')]))])), ('Sex', None), ('Isolate', None)])	0.6193	15444
GCF_000013085.1	269796	Rhodospirillum rubrum ATCC 11170 (a-proteobacteria)	Complete Genome	1	4406557	2	4352825	2	4352825	0	2005/12/12 00:00	2020/03/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 11170')]))])), ('Sex', None), ('Isolate', None)])	0.6538	11170
GCF_000013105.1	264732	Moorella thermoacetica ATCC 39073 (firmicutes)	Complete Genome	1	2628784	1	2628784	1	2628784	0	2005/12/12 00:00	2021/09/07 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 39073')]))])), ('Sex', None), ('Isolate', None)])	0.5579	39073
GCF_000013285.1	195103	Clostridium perfringens ATCC 13124 (firmicutes)	Complete Genome	1	3256683	1	3256683	1	3256683	0	2006/07/25 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 13124')]))])), ('Sex', None), ('Isolate', None)])	0.2838	13124
GCF_000014145.1	269798	Cytophaga hutchinsonii ATCC 33406 (CFB group bacteria)	Complete Genome	1	4433218	1	4433218	1	4433218	0	2006/07/11 00:00	2020/04/30 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 33406')]))])), ('Sex', None), ('Isolate', None)])	0.3885	33406
GCF_000014425.1	324831	Lactobacillus gasseri ATCC 33323 = JCM 1131 (firmicutes)	Complete Genome	1	1894360	1	1894360	1	1894360	0	2006/10/13 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 33323')]))])), ('Sex', None), ('Isolate', None)])	0.3526	33323
GCF_000014445.1	203120	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293 (firmicutes)	Complete Genome	1	2075763	2	2038396	2	2038396	0	2006/10/13 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 8293')]))])), ('Sex', None), ('Isolate', None)])	0.3767	8293
GCF_000014465.1	387344	Levilactobacillus brevis ATCC 367 (firmicutes)	Complete Genome	1	2340228	3	2291220	3	2291220	0	2006/10/13 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 367')]))])), ('Sex', None), ('Isolate', None)])	0.4606	367
GCF_000014505.1	278197	Pediococcus pentosaceus ATCC 25745 (firmicutes)	Complete Genome	1	1832387	1	1832387	1	1832387	0	2006/10/13 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 25745')]))])), ('Sex', None), ('Isolate', None)])	0.3736	25745
GCF_000014525.1	321967	Lacticaseibacillus paracasei ATCC 334 (firmicutes)	Complete Genome	1	2924325	2	2895264	2	2895264	0	2006/10/13 00:00	2020/03/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 334')]))])), ('Sex', None), ('Isolate', None)])	0.4658	334
GCF_000014805.1	380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966 (g-proteobacteria)	Complete Genome	1	4744448	1	4744448	1	4744448	0	2006/11/06 00:00	2020/03/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 7966')]))])), ('Sex', None), ('Isolate', None)])	0.6155	7966
GCF_000014925.1	290340	Paenarthrobacter aurescens TC1 (high GC Gram+)	Complete Genome	1	5226648	3	4597686	3	4597686	0	2006/12/26 00:00	2021/02/05 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'TC1')]))])), ('Sex', None), ('Isolate', None)])	0.6243	BAA-1386
GCF_000015025.1	351607	Acidothermus cellulolyticus 11B (high GC Gram+)	Complete Genome	1	2443540	1	2443540	1	2443540	0	2006/11/09 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', '11B; ATCC 43068')]))])), ('Sex', None), ('Isolate', None)])	0.6691	43068
GCF_000015445.1	360095	Bartonella bacilliformis KC583 (a-proteobacteria)	Complete Genome	1	1445021	1	1445021	1	1445021	0	2007/01/04 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'KC583; ATCC 35685')]))])), ('Sex', None), ('Isolate', None)])	0.3824	35685
GCF_000015865.1	203119	Acetivibrio thermocellus ATCC 27405 (firmicutes)	Complete Genome	1	3843301	1	3843301	1	3843301	0	2007/02/14 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 27405')]))])), ('Sex', None), ('Isolate', None)])	0.3899	27405
GCF_000015985.1	349101	Cereibacter sphaeroides ATCC 17029 (a-proteobacteria)	Complete Genome	2	4489380	3	3147721	3	3147721	0	2007/02/23 00:00	2021/09/07 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 17029')]))])), ('Sex', None), ('Isolate', None)])	0.6898	17029
GCF_000016145.1	419947	Mycobacterium tuberculosis H37Ra (high GC Gram+)	Complete Genome	1	4419977	1	4419977	1	4419977	0	2007/05/31 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'H37Ra; ATCC 25177')]))])), ('Sex', None), ('Isolate', None)])	0.6561	25177
GCF_000016185.1	414684	Rhodospirillum centenum SW (a-proteobacteria)	Complete Genome	1	4355543	1	4355543	1	4355543	0	2010/02/17 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'SW; ATCC 51521')]))])), ('Sex', None), ('Isolate', None)])	0.7046	51521
GCF_000016305.1	272620	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (enterobacteria)	Complete Genome	1	5694894	6	5315120	6	5315120	0	2007/07/05 00:00	2019/10/09 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 700721; MGH 78578')]))])), ('Sex', None), ('Isolate', None)])	0.5715	700721
GCF_000016645.1	376686	Flavobacterium johnsoniae UW101 (CFB group bacteria)	Complete Genome	1	6096872	1	6096872	1	6096872	0	2007/05/01 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'UW101; ATCC 17061')]))])), ('Sex', None), ('Isolate', None)])	0.3411	17061
GCF_000016845.1	444178	Brucella ovis ATCC 25840 (a-proteobacteria)	Complete Genome	2	3275590	2	2111370	2	2111370	0	2007/05/30 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 25840')]))])), ('Sex', None), ('Isolate', None)])	0.5719	25840
GCF_000017305.1	266940	Kineococcus radiotolerans SRS30216 = ATCC BAA-149 (high GC Gram+)	Complete Genome	1	4956672	3	4761183	3	4761183	0	2008/08/14 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'SRS30216')]))])), ('Sex', None), ('Isolate', None)])	0.7425	BAA-149
GCF_000017665.1	290339	Cronobacter sakazakii ATCC BAA-894 (enterobacteria)	Complete Genome	1	4530777	3	4368373	3	4368373	0	2007/08/28 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-894')]))])), ('Sex', None), ('Isolate', None)])	0.5673	BAA-894
GCF_000017705.1	1224742	Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC BAA-1116 (g-proteobacteria)	Complete Genome	2	6058377	3	3765351	3	3765351	0	2007/08/28 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-1116; BB120')]))])), ('Sex', None), ('Isolate', None)])	0.4542	BAA-1116
GCF_000018045.1	290338	Citrobacter koseri ATCC BAA-895 (enterobacteria)	Complete Genome	1	4735357	3	4720462	3	4720462	0	2007/09/11 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-895')]))])), ('Sex', None), ('Isolate', None)])	0.5383	BAA-895
GCF_000018125.1	471876	Streptococcus pyogenes NZ131 (firmicutes)	Complete Genome	1	1815785	1	1815785	1	1815785	0	2008/10/16 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'NZ131; ATCC BAA-1633')]))])), ('Sex', None), ('Isolate', None)])	0.3857	BAA-1633
GCF_000018285.1	398579	Shewanella pealeana ATCC 700345 (g-proteobacteria)	Complete Genome	1	5174581	1	5174581	1	5174581	0	2007/10/04 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 700345')]))])), ('Sex', None), ('Isolate', None)])	0.4466	700345
GCF_000018505.1	395019	Burkholderia multivorans ATCC 17616 (b-proteobacteria)	Complete Genome	3	7008622	4	2472928	4	2472928	0	2007/11/15 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 17616')]))])), ('Sex', None), ('Isolate', None)])	0.6669	17616
GCF_000018885.1	288705	Renibacterium salmoninarum ATCC 33209 (high GC Gram+)	Complete Genome	1	3155250	1	3155250	1	3155250	0	2007/12/18 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 33209')]))])), ('Sex', None), ('Isolate', None)])	0.5627	33209
GCF_000019085.1	340099	Thermoanaerobacter pseudethanolicus ATCC 33223 (firmicutes)	Complete Genome	1	2362816	1	2362816	1	2362816	0	2008/02/05 00:00	2021/06/08 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 33223; 39E')]))])), ('Sex', None), ('Isolate', None)])	0.3451	33223
GCF_000019165.1	498761	Heliomicrobium modesticaldum Ice1 (firmicutes)	Complete Genome	1	3075407	1	3075407	1	3075407	0	2008/04/01 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'Ice1; ATCC 51547')]))])), ('Sex', None), ('Isolate', None)])	0.5698	51547
GCF_000019205.1	306263	Campylobacter lari RM2100 (e-proteobacteria)	Complete Genome	1	1571661	2	1525460	2	1525460	0	2009/02/05 00:00	2021/02/05 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'RM2100; ATCC BAA-1060D')]))])), ('Sex', None), ('Isolate', None)])	0.2962	BAA-1060
GCF_000019285.1	484022	Francisella philomiragia subsp. philomiragia ATCC 25017 (g-proteobacteria)	Complete Genome	1	2049711	2	2045775	2	2045775	0	2008/02/11 00:00	2021/09/07 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 25017')]))])), ('Sex', None), ('Isolate', None)])	0.3257	25017
GCF_000019385.1	481805	Escherichia coli ATCC 8739 (E. coli)	Complete Genome	1	4746218	1	4746218	1	4746218	0	2008/03/11 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 8739')]))])), ('Sex', None), ('Isolate', None)])	0.5087	8739
GCF_000019485.1	32049	Synechococcus sp. PCC 7002 (cyanobacteria)	Complete Genome	1	3409935	7	3008047	7	3008047	0	2008/03/14 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'PCC 7002; ATCC 27264')]))])), ('Sex', None), ('Isolate', None)])	0.4919	27264
GCF_000019525.1	392500	Shewanella woodyi ATCC 51908 (g-proteobacteria)	Complete Genome	1	5935403	1	5935403	1	5935403	0	2008/03/13 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 51908')]))])), ('Sex', None), ('Isolate', None)])	0.4370	51908
GCF_000020225.1	349741	Akkermansia muciniphila ATCC BAA-835 (verrucomicrobia)	Complete Genome	1	2664102	1	2664102	1	2664102	0	2008/05/05 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-835')]))])), ('Sex', None), ('Isolate', None)])	0.5576	BAA-835
GCF_000020425.1	391904	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088 (high GC Gram+)	Complete Genome	1	2832748	1	2832748	1	2832748	0	2008/11/20 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 15697')]))])), ('Sex', None), ('Isolate', None)])	0.5986	15697
GCF_000021325.1	272568	Gluconacetobacter diazotrophicus PA1 5 (a-proteobacteria)	Complete Genome	1	3914947	2	3887492	2	3887492	0	2008/10/16 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'PAl 5; ATCC 49037')]))])), ('Sex', None), ('Isolate', None)])	0.6632	49037
GCF_000022125.1	525146	Desulfovibrio desulfuricans ATCC 27774 (d-proteobacteria)	Complete Genome	1	2873437	1	2873437	1	2873437	0	2009/01/09 00:00	2021/09/07 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 27774')]))])), ('Sex', None), ('Isolate', None)])	0.5807	27774
GCF_000024405.1	526218	Sebaldella termitidis ATCC 33386 (fusobacteria)	Complete Genome	1	4486650	3	4418842	3	4418842	0	2009/11/18 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 33386')]))])), ('Sex', None), ('Isolate', None)])	0.3338	33386
GCF_000025005.1	525904	Thermobaculum terrenum ATCC BAA-798 (GNS bacteria)	Complete Genome	2	3101581	2	2026947	2	2026947	0	2009/11/23 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC BAA-798')]))])), ('Sex', None), ('Isolate', None)])	0.5351	BAA-798
GCF_000025565.1	716541	Enterobacter cloacae subsp. cloacae ATCC 13047 (enterobacteria)	Complete Genome	1	5598796	3	5314581	3	5314581	0	2010/04/23 00:00	2020/03/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 13047')]))])), ('Sex', None), ('Isolate', None)])	0.5458	13047
gcf_000025985.1	272559	Bacteroides fragilis NCTC 9343 (CFB group bacteria)	Complete Genome	1	5241700	2	5205140	2	5205140	0	2005/03/03 00:00	2021/06/05 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'NCTC 9343')]))])), ('Sex', None), ('Isolate', None)])	0.4311	25285
GCF_000026225.1	585054	Escherichia fergusonii ATCC 35469 (enterobacteria)	Complete Genome	1	4643861	2	4588711	2	4588711	0	2008/12/18 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 35469T')]))])), ('Sex', None), ('Isolate', None)])	0.4992	35469
